ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0;0.0;80.4436;-87.4905;-75.291;-84.8971;-0.0071;0.0045
0.1001;0.0;0.0;80.4436;-87.4905;-75.291;-84.8971;-0.0071;0.0045
0.1702;0.0;0.0;80.4436;-87.4904;-75.2911;-84.897;-0.0073;0.0045
0.2402;0.0;0.0;80.4436;-87.4904;-75.2912;-84.897;-0.0087;0.0045
0.3098;0.0;0.0;80.4437;-87.4904;-75.2912;-84.897;-0.011;0.0045
0.3792;0.0;0.0;80.4439;-87.4904;-75.2913;-84.897;-0.0131;0.0045
0.449;0.0;0.0;80.4441;-87.4904;-75.2914;-84.897;-0.0144;0.0045
0.5188;0.0;0.0;80.4442;-87.4903;-75.2914;-84.897;-0.0147;0.0045
0.5886;0.0;0.0;80.4444;-87.4902;-75.2915;-84.897;-0.0147;0.0045
0.6589;0.0;0.0;80.4447;-87.4902;-75.2916;-84.897;-0.0147;0.0045
0.7285;0.0;0.0;80.445;-87.4902;-75.2917;-84.897;-0.0147;0.0045
0.7981;0.0;0.0;80.4454;-87.4902;-75.2918;-84.897;-0.0147;0.0045
0.8679;0.0;0.0;80.4457;-87.4902;-75.2919;-84.897;-0.0147;0.0045
0.9375;0.0;0.0;80.4461;-87.4901;-75.292;-84.8969;-0.0147;0.0045
1.0071;0.0;0.0;80.4465;-87.4901;-75.2921;-84.8969;-0.0147;0.0045
1.0771;0.0;0.0;80.447;-87.4901;-75.2921;-84.8969;-0.0147;0.0045
1.1472;0.0;0.0;80.4474;-87.49;-75.2922;-84.8969;-0.0147;0.0045
1.217;0.0;0.0;80.4479;-87.49;-75.2923;-84.8969;-0.015;0.0045
1.2866;0.0;0.0;80.4484;-87.4899;-75.2924;-84.8969;-0.0172;0.0045
1.3562;0.0;0.0;80.449;-87.4898;-75.2925;-84.8969;-0.0228;0.0045
1.426;0.0;0.0;80.4495;-87.4898;-75.2926;-84.8969;-0.0303;0.0045
1.4954;0.0;0.0;80.4501;-87.4897;-75.2927;-84.8968;-0.0361;0.0045
1.5649;0.0;0.0;80.4508;-87.4895;-75.2928;-84.8968;-0.0383;0.0045
1.6343;0.0;0.0;80.4514;-87.4894;-75.2928;-84.8968;-0.0383;0.0045
1.7041;0.0049;0.0;80.4521;-87.4894;-75.2929;-84.8968;-0.0383;0.0045
1.7808;0.0066;0.0;80.4529;-87.4893;-75.2931;-84.8968;-0.0383;0.0045
1.8491;0.0043;0.0;80.4535;-87.4892;-75.2931;-84.8967;-0.0383;0.0045
1.9241;0.0037;0.0;80.4542;-87.4891;-75.2933;-84.8967;-0.0387;0.0045
1.9934;0.0108;0.0;80.4547;-87.489;-75.2933;-84.8967;-0.04;0.0045
2.063;0.0312;0.0;80.4552;-87.4889;-75.2934;-84.8967;-0.0413;0.0045
2.1323;0.0562;0.0;80.4554;-87.4889;-75.2935;-84.8967;-0.0419;0.0045
2.2021;0.0754;0.0032;80.4552;-87.4888;-75.2936;-84.8966;-0.042;0.0045
2.2715;0.09;0.0109;80.4542;-87.4887;-75.2936;-84.8966;-0.042;0.0045
2.3411;0.1001;0.0263;80.4521;-87.4885;-75.2936;-84.8966;-0.0427;0.0045
2.4106;0.1111;0.0556;80.4491;-87.488;-75.2935;-84.8965;-0.0442;0.0045
2.48;0.1234;0.092;80.4448;-87.4871;-75.2935;-84.8963;-0.0461;0.0045
2.5496;0.1361;0.1287;80.4392;-87.4852;-75.2933;-84.8958;-0.0479;0.0045
2.6191;0.1583;0.1524;80.4323;-87.4821;-75.2931;-84.8951;-0.0489;0.0045
2.6887;0.1943;0.1663;80.4238;-87.4773;-75.2929;-84.8941;-0.0489;0.0045
2.7585;0.2385;0.175;80.4132;-87.4707;-75.2926;-84.8926;-0.0489;0.0045
2.8279;0.268;0.1813;80.4001;-87.4622;-75.2922;-84.8907;-0.0489;0.0045
2.8977;0.2962;0.1909;80.3842;-87.4518;-75.2918;-84.8883;-0.0489;0.0045
2.967;0.3247;0.2231;80.3652;-87.4393;-75.2912;-84.8855;-0.0489;0.0045
3.0369;0.3445;0.2612;80.3427;-87.4247;-75.2905;-84.8822;-0.0489;0.0045
3.1064;0.3535;0.2995;80.3165;-87.4073;-75.2897;-84.8783;-0.0489;0.0045
3.1765;0.3597;0.3403;80.2863;-87.3866;-75.2888;-84.8736;-0.049;0.0045
3.2466;0.3655;0.3716;80.2523;-87.3625;-75.2878;-84.8682;-0.0496;0.0045
3.3164;0.3702;0.39;80.2142;-87.3344;-75.2866;-84.8618;-0.0515;0.0045
3.3862;0.3701;0.4009;80.1723;-87.3021;-75.2854;-84.8546;-0.0544;0.0045
3.4561;0.3681;0.4074;80.1266;-87.2657;-75.2842;-84.8463;-0.0569;0.0045
