ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.3143;0.5745;1.1352;-24.913;-35.882;2.4775;0.0011;-0.1023
0.07000000000000028;0.3663;0.5712;1.1358;-24.4011;-35.7054;2.4766;-0.0182;-0.1019
0.13980000000000103;0.424;0.5688;1.1352;-23.8901;-35.5273;2.4834;-0.0184;-0.0987
0.20989999999999753;0.4642;0.5662;1.1338;-23.3796;-35.3468;2.4976;-0.0065;-0.0907
0.27949999999999875;0.4912;0.5647;1.1326;-22.8638;-35.1612;2.5187;-0.0017;-0.0788
0.3487999999999971;0.5123;0.5638;1.1316;-22.3509;-34.973;2.5456;-0.0022;-0.0645
0.4187000000000012;0.5282;0.5657;1.1308;-21.8339;-34.7795;2.5779;-0.0074;-0.0456
0.48850000000000193;0.539;0.5676;1.1298;-21.3132;-34.581;2.614;-0.0175;-0.023
0.5583000000000027;0.5462;0.5717;1.1281;-20.7874;-34.3776;2.6528;-0.0196;-0.0024
0.6280999999999963;0.5513;0.5774;1.1258;-20.2599;-34.1702;2.6925;-0.0187;0.0108
0.6976999999999975;0.5559;0.5876;1.1231;-19.7264;-33.9567;2.7328;-0.0175;0.0283
0.7674999999999983;0.5586;0.6006;1.1202;-19.1901;-33.7389;2.772;-0.0175;0.0445
0.8370999999999995;0.5602;0.6137;1.117;-18.6492;-33.5162;2.8091;-0.0175;0.0597
0.9069000000000003;0.5611;0.6293;1.1134;-18.1039;-33.2883;2.8465;-0.0175;0.0739
0.9767999999999972;0.5617;0.6471;1.1095;-17.5532;-33.055;2.8944;-0.0175;0.0859
1.046599999999998;0.561;0.6659;1.1053;-16.9964;-32.8165;2.9384;-0.0175;0.0943
1.1158999999999963;0.5579;0.6823;1.1007;-16.4371;-32.5741;2.9711;-0.0175;0.0979
1.1854999999999976;0.555;0.6967;1.0957;-15.8758;-32.3272;2.9915;-0.0175;0.0989
1.2550999999999988;0.5522;0.7073;1.0903;-15.3082;-32.0746;3.0074;-0.0175;0.0993
1.3247;0.55;0.7147;1.0845;-14.7463;-31.8181;3.0431;-0.0172;0.0993
1.3939999999999984;0.548;0.7213;1.0782;-14.1874;-31.557;3.0753;-0.0133;0.0993
1.463799999999999;0.5459;0.7266;1.0717;-13.6165;-31.2904;3.0737;-0.0085;0.0993
1.5332000000000008;0.5447;0.7314;1.0652;-13.0718;-31.0201;2.9963;-0.0057;0.0993
1.6026999999999987;0.5432;0.7342;1.0587;-12.5104;-30.7452;2.9455;-0.0052;0.0993
1.6725999999999956;0.5415;0.7363;1.0521;-11.934;-30.4649;2.8998;-0.0043;0.0993
1.7428999999999988;0.5405;0.7394;1.0453;-11.3417;-30.1777;2.8419;-0.0014;0.0985
1.8126999999999995;0.5386;0.7452;1.0386;-10.7378;-29.8885;2.7407;0.0023;0.0956
1.8844999999999956;0.5356;0.7514;1.032;-10.1187;-29.595;2.6152;0.0059;0.0906
1.9542999999999964;0.5338;0.7548;1.0255;-9.4859;-29.2884;2.5075;0.0073;0.0845
2.023600000000002;0.5317;0.7463;1.0195;-8.8765;-28.9874;2.4065;0.0073;0.0787
2.093199999999996;0.5299;0.7225;1.0136;-8.2698;-28.6828;2.3008;0.0073;0.074
2.1632999999999996;0.5288;0.6953;1.0079;-7.6609;-28.3723;2.1872;0.0073;0.0671
2.2329000000000008;0.5261;0.6721;1.0023;-7.0522;-28.0579;2.0657;0.0073;0.0579
2.3027000000000015;0.5234;0.656;0.9968;-6.4439;-27.7398;1.9367;0.0073;0.0471
2.3725000000000023;0.5218;0.6465;0.9915;-5.8348;-27.4181;1.801;0.0072;0.0355
2.4420999999999964;0.5209;0.6409;0.9863;-5.226;-27.0936;1.6586;0.0072;0.0229
2.5116999999999976;0.5203;0.636;0.9813;-4.6171;-26.7659;1.5121;0.0071;0.0069
2.5814999999999984;0.52;0.6331;0.9765;-4.0088;-26.4351;1.363;0.0071;-0.0108
2.6510999999999996;0.5198;0.6314;0.9718;-3.3978;-26.0992;1.2132;0.0071;-0.0291
2.720700000000001;0.5197;0.6303;0.9673;-2.7891;-25.7604;1.0644;0.0071;-0.0458
2.7901999999999987;0.5196;0.6298;0.963;-2.1809;-25.4179;0.9179;0.0071;-0.0611
2.8600999999999956;0.5182;0.6294;0.9589;-1.5722;-25.0718;0.7752;0.0061;-0.0733
2.9298999999999964;0.5172;0.6292;0.9549;-0.9625;-24.722;0.6377;0.0051;-0.0822
2.9298999999999964;0.5172;0.6292;0.9549;-0.9625;-24.722;0.6377;0.0051;-0.0822
2.9994999999999976;0.5165;0.6291;0.9511;-0.3538;-24.3701;0.5069;0.0051;-0.0882
2.9994999999999976;0.5165;0.6291;0.9511;-0.3538;-24.3701;0.5069;0.0051;-0.0882
3.068799999999996;0.5161;0.629;0.9473;0.2552;-24.0157;0.3837;0.0051;-0.0952
3.068799999999996;0.5161;0.629;0.9473;0.2552;-24.0157;0.3837;0.0051;-0.0952
3.1385999999999967;0.5159;0.63;0.9437;0.8691;-23.6564;0.2684;0.0051;-0.1031
3.1385999999999967;0.5159;0.63;0.9437;0.8691;-23.6564;0.2684;0.0051;-0.1031
