ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.5392;0.3815;0.3502;-24.9846;-36.3362;-0.9239;0.1651;0.2505
0.041499999999999204;0.5638;0.3882;0.3479;-24.8561;-36.1721;-0.9258;0.1653;0.2494
0.08330000000000126;0.59;0.3945;0.3468;-24.7271;-36.0064;-0.9288;0.1659;0.2449
0.125;0.6141;0.4013;0.3469;-24.5975;-35.839;-0.933;0.1665;0.2367
0.1664999999999992;0.634;0.4083;0.3483;-24.4674;-35.6697;-0.9382;0.1671;0.2256
0.20830000000000126;0.6495;0.4142;0.3511;-24.3368;-35.4985;-0.9443;0.1673;0.2126
0.25;0.6609;0.4196;0.3553;-24.2058;-35.3251;-0.951;0.1673;0.1967
0.2914999999999992;0.6673;0.4241;0.361;-24.0742;-35.1496;-0.9583;0.166;0.181
0.33330000000000126;0.6684;0.4279;0.3682;-23.9421;-34.972;-0.9658;0.1625;0.1691
0.375;0.6617;0.4313;0.3769;-23.8095;-34.7923;-0.9736;0.1529;0.1609
0.4164999999999992;0.6474;0.4338;0.3871;-23.6764;-34.6104;-0.9817;0.1379;0.1537
0.45830000000000126;0.6299;0.4356;0.3984;-23.5426;-34.4265;-0.9902;0.1174;0.1424
0.5;0.6115;0.4369;0.4106;-23.4081;-34.2409;-0.999;0.096;0.125
0.5414999999999992;0.591;0.4375;0.4232;-23.273;-34.0536;-1.008;0.076;0.1028
0.5833000000000013;0.5698;0.4357;0.4362;-23.1372;-33.8649;-1.0169;0.0593;0.077
0.625;0.5504;0.4327;0.4493;-23.0008;-33.6748;-1.0253;0.0489;0.051
0.6664999999999992;0.5339;0.4305;0.4625;-22.864;-33.4836;-1.0331;0.0437;0.0275
0.7083000000000013;0.5219;0.4289;0.4758;-22.7267;-33.2912;-1.0399;0.0361;0.0058
0.75;0.5152;0.4277;0.4893;-22.5891;-33.0977;-1.0457;0.0247;-0.0117
0.7914999999999992;0.5141;0.4269;0.503;-22.4511;-32.9031;-1.0505;0.0109;-0.0231
0.8333000000000013;0.5185;0.4262;0.5166;-22.3126;-32.7075;-1.0544;-0.0039;-0.0278
0.875;0.5263;0.425;0.5299;-22.1737;-32.5109;-1.0575;-0.0193;-0.0284
0.9164999999999992;0.5329;0.422;0.5427;-22.0342;-32.3134;-1.0601;-0.0335;-0.0262
0.9583000000000013;0.5388;0.4165;0.5548;-21.894;-32.1148;-1.0623;-0.0452;-0.0224
1.0;0.5431;0.4112;0.5662;-21.7533;-31.9153;-1.0644;-0.0575;-0.0201
1.0414999999999992;0.5462;0.4073;0.5766;-21.6119;-31.7147;-1.0664;-0.0738;-0.0202
1.0833000000000013;0.5485;0.4041;0.586;-21.4699;-31.513;-1.0684;-0.0923;-0.024
1.125;0.5502;0.401;0.5941;-21.327;-31.3104;-1.0702;-0.1107;-0.0315
1.1664999999999992;0.5514;0.3984;0.6004;-21.1835;-31.1068;-1.0718;-0.1279;-0.0396
1.2083000000000013;0.5545;0.3913;0.6049;-21.0395;-30.9023;-1.073;-0.1436;-0.0468
1.25;0.5613;0.3728;0.6072;-20.8949;-30.697;-1.0735;-0.1563;-0.051
1.2914999999999992;0.5716;0.3472;0.6071;-20.7499;-30.4908;-1.0735;-0.1648;-0.0512
1.3333000000000013;0.5837;0.3195;0.6046;-20.6047;-30.2838;-1.073;-0.1671;-0.0481
1.375;0.5949;0.2815;0.5996;-20.4594;-30.0756;-1.0722;-0.1638;-0.0435
1.4164999999999992;0.6031;0.2297;0.5924;-20.314;-29.8662;-1.0711;-0.1557;-0.0384
1.4583000000000013;0.609;0.1684;0.583;-20.1687;-29.6552;-1.0698;-0.1454;-0.0323
