ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.0714;0.0;80.8692;-87.052;-74.1704;-85.1362;-0.0208;-0.0129
0.0647;0.0714;0.0;80.8692;-87.052;-74.1704;-85.1362;-0.0208;-0.0129
0.1064;0.0714;0.0;80.8687;-87.0521;-74.1704;-85.1362;-0.0208;-0.0129
0.1484;0.0714;0.0;80.868;-87.0521;-74.1704;-85.1362;-0.0208;-0.0129
0.1902;0.0699;0.0;80.867;-87.0522;-74.1704;-85.1362;-0.0208;-0.0129
0.2319;0.0682;0.0;80.8658;-87.0521;-74.1704;-85.1362;-0.0208;-0.0129
0.2739;0.0669;0.0;80.8642;-87.0521;-74.1704;-85.1362;-0.0208;-0.0129
0.3157;0.066;0.0;80.8624;-87.0521;-74.1703;-85.1362;-0.0208;-0.0129
0.3574;0.0653;0.0;80.8604;-87.0521;-74.1703;-85.1362;-0.0208;-0.0129
0.3994;0.0648;0.0;80.8581;-87.0521;-74.1702;-85.1362;-0.0208;-0.0129
0.4417;0.0645;0.0;80.8555;-87.0522;-74.1701;-85.1362;-0.0208;-0.0129
0.4834;0.0642;0.0;80.8528;-87.0521;-74.17;-85.1362;-0.0208;-0.0129
0.5254;0.064;0.0;80.8498;-87.0521;-74.1699;-85.1362;-0.0208;-0.0129
0.5669;0.0639;0.0;80.8465;-87.0521;-74.1698;-85.1362;-0.0208;-0.0129
0.6089;0.0638;0.0;80.843;-87.052;-74.1697;-85.1362;-0.0208;-0.0129
0.6511;0.0637;0.0;80.8392;-87.052;-74.1696;-85.1362;-0.0208;-0.0129
0.6931;0.0636;0.0;80.8353;-87.052;-74.1694;-85.1361;-0.0208;-0.0129
0.7346;0.0636;0.0;80.8312;-87.052;-74.1693;-85.1361;-0.0208;-0.0129
0.7769;0.0636;0.0;80.8268;-87.052;-74.1691;-85.1361;-0.0208;-0.0129
0.8191;0.0635;0.0;80.8222;-87.052;-74.1689;-85.1361;-0.0208;-0.0129
0.8613;0.0635;0.0;80.8174;-87.0519;-74.1687;-85.1361;-0.0208;-0.0129
0.9028;0.0635;0.0;80.8124;-87.0519;-74.1685;-85.1362;-0.0208;-0.0129
0.9451;0.0635;0.0;80.8072;-87.0519;-74.1683;-85.1361;-0.0208;-0.0129
0.9868;0.0635;0.0;80.8018;-87.0519;-74.1681;-85.1361;-0.0208;-0.0129
1.0288;0.0635;0.0;80.7962;-87.0518;-74.1679;-85.1361;-0.0208;-0.0129
1.0703;0.0635;0.0;80.7903;-87.0518;-74.1676;-85.1361;-0.0208;-0.0129
1.1121;0.0635;0.0;80.7843;-87.0517;-74.1674;-85.1361;-0.0208;-0.0129
1.1538;0.0635;0.0;80.7781;-87.0517;-74.1671;-85.1361;-0.0208;-0.0129
1.1956;0.0635;0.0;80.7716;-87.0517;-74.1668;-85.1361;-0.0208;-0.0129
1.2373;0.0635;0.0;80.7649;-87.0517;-74.1665;-85.1361;-0.0208;-0.0129
1.2793;0.0635;0.0;80.7581;-87.0517;-74.1662;-85.1361;-0.0208;-0.0129
1.3213;0.0635;0.0;80.751;-87.0516;-74.1659;-85.1361;-0.0208;-0.0129
1.3633;0.0635;0.0;80.7437;-87.0515;-74.1656;-85.1361;-0.0208;-0.0129
1.4048;0.0635;0.0;80.7361;-87.0515;-74.1653;-85.136;-0.0208;-0.0129
1.447;0.065;0.0;80.7283;-87.0515;-74.1649;-85.1361;-0.0208;-0.0129
1.489;0.0667;0.0;80.7203;-87.0515;-74.1646;-85.136;-0.0208;-0.0129
1.5305;0.068;0.0;80.7122;-87.0515;-74.1642;-85.136;-0.0208;-0.0129
1.5728;0.0689;0.0;80.7038;-87.0514;-74.1639;-85.136;-0.0208;-0.0129
1.6145;0.0696;0.0;80.6951;-87.0513;-74.1635;-85.136;-0.0208;-0.0129
1.657;0.0701;0.0;80.6862;-87.0513;-74.1631;-85.136;-0.0208;-0.0129
1.6987;0.0705;0.0;80.6773;-87.0513;-74.1627;-85.136;-0.0208;-0.0129
1.741;0.0718;0.0;80.6681;-87.0512;-74.1623;-85.136;-0.0208;-0.0129
1.783;0.0728;0.0;80.6587;-87.0512;-74.1618;-85.136;-0.0208;-0.0129
