ScenarioTime;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0.0;0.582;0.5654;-0.53;0.0451;-35.2526;24.9052;0.2186;-0.0901
0.04230000000000089;0.582;0.4724;-0.5341;0.058;-35.0119;24.6195;0.2102;-0.08
0.08449999999999847;0.582;0.3476;-0.5351;0.0726;-34.772;24.3351;0.2001;-0.0689
0.12650000000000006;0.582;0.2534;-0.5331;0.0889;-34.5281;24.047;0.1891;-0.0585
0.1681999999999988;0.582;0.1847;-0.5284;0.1063;-34.2856;23.762;0.1786;-0.0488
0.2102000000000004;0.582;0.1347;-0.5212;0.1247;-34.0425;23.4782;0.1682;-0.0403
0.2525000000000013;0.582;0.0982;-0.5113;0.144;-33.796;23.1928;0.1583;-0.0331
0.2942;0.582;0.0716;-0.4991;0.164;-33.5494;22.9096;0.148;-0.0269
0.33619999999999806;0.582;0.0522;-0.4846;0.1844;-33.304;22.6304;0.1377;-0.0219
0.3780000000000001;0.582;0.038;-0.4679;0.2054;-33.0555;22.3505;0.1275;-0.0172
0.41969999999999885;0.582;0.0277;-0.4496;0.2266;-32.8082;22.0752;0.1171;-0.0124
0.46119999999999806;0.582;0.0202;-0.4296;0.248;-32.56;21.8019;0.1073;-0.007
0.5031999999999996;0.582;0.0147;-0.4078;0.2697;-32.309;21.5288;0.0977;-0.0011
0.5449999999999982;0.582;0.0107;-0.3846;0.2911;-32.0588;21.2597;0.0883;0.0046
0.5867000000000004;0.582;0.0078;-0.36;0.3124;-31.8077;20.9925;0.0779;0.0106
0.6281999999999996;0.582;0.0057;-0.3342;0.3333;-31.5556;20.7273;0.0667;0.0155
0.6699999999999982;0.582;0.0042;-0.3073;0.3538;-31.3025;20.4641;0.0552;0.0197
0.7117000000000004;0.582;0.003;-0.2796;0.3737;-31.0485;20.203;0.0434;0.024
0.7531999999999996;0.582;0.0022;-0.2512;0.3931;-30.7934;19.9438;0.0329;0.0298
0.7949999999999982;0.582;0.0016;-0.2223;0.4117;-30.5375;19.6869;0.0244;0.0398
0.8367000000000004;0.5824;0.0012;-0.1931;0.4294;-30.2806;19.4319;0.017;0.0493
0.878499999999999;0.5834;-0.0706;-0.1635;0.4461;-30.0218;19.1778;0.0104;0.0587
0.9207000000000001;0.5841;-0.1383;-0.1338;0.4613;-29.7629;18.9268;0.0042;0.0678
0.9621999999999993;0.5846;-0.186;-0.1037;0.4751;-29.5002;18.6763;-0.0013;0.0761
1.003899999999998;0.5849;-0.2655;-0.0738;0.487;-29.2392;18.4324;-0.0056;0.0858
1.0457;0.5852;-0.3688;-0.0439;0.4971;-28.9764;18.1927;-0.0083;0.0962
1.0873999999999988;0.5854;-0.4363;-0.0141;0.5051;-28.7131;17.9598;-0.0096;0.1063
1.1296999999999997;0.5855;-0.4443;0.0159;0.5111;-28.4454;17.7316;-0.0098;0.1157
1.171199999999999;0.5856;-0.4404;0.0457;0.5149;-28.1791;17.5135;-0.0098;0.1236
1.2134;0.5857;-0.3967;0.0757;0.5166;-27.9091;17.3016;-0.01;0.1293
1.2551999999999985;0.5858;-0.365;0.1054;0.5163;-27.6411;17.1001;-0.0118;0.133
1.2969000000000008;0.5858;-0.3412;0.1352;0.5143;-27.3709;16.9052;-0.015;0.1343
1.3388999999999989;0.5858;-0.3015;0.1647;0.5107;-27.0993;16.7171;-0.0195;0.1343
1.380399999999998;0.5859;-0.2539;0.1939;0.5058;-26.8278;16.5364;-0.0246;0.1343
1.4222000000000001;0.5859;-0.2023;0.2227;0.4995;-26.5549;16.3616;-0.0292;0.1343
1.4638999999999989;0.5859;-0.1746;0.2509;0.4922;-26.281;16.1921;-0.0324;0.1337
1.5061;0.5859;-0.1746;0.2788;0.4838;-26.0024;16.0248;-0.033;0.1324
1.5478999999999985;0.5859;-0.1706;0.3058;0.4746;-25.7255;15.8634;-0.0324;0.1309
1.5896000000000008;0.5859;-0.1706;0.3322;0.4646;-25.4474;15.7063;-0.03;0.1291
1.6313999999999993;0.5859;-0.1627;0.358;0.454;-25.168;15.553;-0.0269;0.1262
1.673099999999998;0.5849;-0.1587;0.3834;0.4429;-24.8882;15.4041;-0.0245;0.1221
1.673099999999998;0.5849;-0.1587;0.3834;0.4429;-24.8882;15.4041;-0.0245;0.1221
1.715399999999999;0.583;-0.1548;0.4087;0.4312;-24.6041;15.2574;-0.0241;0.1166
1.715399999999999;0.583;-0.1548;0.4087;0.4312;-24.6041;15.2574;-0.0241;0.1166
1.7571000000000012;0.581;-0.127;0.4336;0.4193;-24.3193;15.1149;-0.0254;0.1092
1.7571000000000012;0.581;-0.127;0.4336;0.4193;-24.3193;15.1149;-0.0254;0.1092
1.7990999999999993;0.5784;-0.1151;0.4578;0.4073;-24.0357;14.9771;-0.0284;0.099
1.7990999999999993;0.5784;-0.1151;0.4578;0.4073;-24.0357;14.9771;-0.0284;0.099
1.8409000000000013;0.5762;-0.1151;0.4817;0.3952;-23.7487;14.8415;-0.033;0.0862
1.8409000000000013;0.5762;-0.1151;0.4817;0.3952;-23.7487;14.8415;-0.033;0.0862
1.8826;0.5742;-0.1032;0.5046;0.3833;-23.4631;14.7102;-0.0382;0.0722
1.8826;0.5742;-0.1032;0.5046;0.3833;-23.4631;14.7102;-0.0382;0.0722
1.924599999999998;0.5721;-0.1032;0.5268;0.3718;-23.1749;14.5813;-0.0429;0.0587
