ScenarioTime;ThrottleAPredicted;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
0;0.08391127;0;0;80.721;-84.897;-75.5148;78.1139;0.002;0.005
0.3333;0.08486268;0;0;80.721;-84.897;-75.5148;78.1139;0.002;0.005
0.4077;0.08507401;0;0;80.7212;-84.897;-75.5153;78.114;0.002;0.005
0.4775;0.08527476;0;0;80.7212;-84.897;-75.5154;78.114;0.002;0.005
0.5476;0.08547556;0;0;80.7213;-84.897;-75.5155;78.114;0.002;0.005
0.6174;0.0856759;0;0;80.7214;-84.897;-75.5156;78.114;0.002;0.005
0.6873;0.08587679;0;0;80.7215;-84.897;-75.5157;78.114;0.002;0.005
0.7573;0.08607742;0;0;80.7217;-84.897;-75.5158;78.114;0.002;0.005
0.8274;0.08627865;0;0;80.7219;-84.897;-75.5159;78.114;0.002;0.005
0.8975;0.08648026;0;0;80.7221;-84.8969;-75.516;78.1139;0.002;0.005
0.968;0.08668232;0;0;80.7224;-84.8969;-75.5161;78.1139;0.002;0.005
1.0376;0.0868834;0;0;80.7226;-84.8969;-75.5162;78.1139;0.002;0.005
1.1074;0.08708426;0;0;80.7229;-84.8969;-75.5162;78.1139;0.002;0.005
1.1772;0.08728668;0;0;80.7231;-84.8969;-75.5164;78.1139;0.002;0.005
1.2471;0.08748722;0;0;80.7235;-84.8969;-75.5165;78.1138;0.002;0.005
1.3167;0.08768871;0;0;80.7238;-84.8968;-75.5166;78.1138;0.002;0.005
1.3865;0.0878911;0;0;80.7241;-84.8968;-75.5167;78.1137;0.002;0.005
1.4565;0.08809447;0;0;80.7244;-84.8968;-75.5168;78.1137;0.002;0.005
1.5254;0.0882937;0;0;80.7248;-84.8967;-75.5169;78.1136;0.002;0.005
1.5977;0.0885039;0;0;80.7252;-84.8967;-75.5169;78.1136;0.002;0.005
1.667;0.08870524;0;0;80.7256;-84.8967;-75.5171;78.1136;0.002;0.005
1.7371;0.08890942;0;0;80.726;-84.8967;-75.5171;78.1135;0.002;0.005
1.8066;0.08911243;0;0;80.7264;-84.8967;-75.5172;78.1135;0.002;0.005
1.877;0.08931836;0;0;80.7268;-84.8966;-75.5173;78.1135;0.002;0.005
1.9463;0.08952031;0;0;80.7273;-84.8966;-75.5174;78.1134;0.002;0.005
2.0459;0.08692122;0;0;80.7274;-84.8966;-75.5175;78.1134;0.0054;0.005
2.1165;0.08496132;0;0;80.7284;-84.8965;-75.5177;78.1132;0.008;0.005
2.186;0.08482689;0;0;80.729;-84.8965;-75.5178;78.1132;0.0084;0.005
2.2556;0.08502173;0;0;80.7294;-84.8964;-75.5179;78.1132;0.0084;0.005
2.3254;0.0852164;0;0;80.7299;-84.8964;-75.518;78.1131;0.0084;0.005
2.395;0.08541101;0;0;80.7304;-84.8964;-75.5181;78.1131;0.0084;0.005
2.4646;0.08560583;0;0;80.7309;-84.8963;-75.5182;78.113;0.0084;0.005
2.5349;0.08580256;0;0;80.7315;-84.8963;-75.5182;78.113;0.0084;0.005
2.6042;0.08599743;0;0;80.732;-84.8963;-75.5183;78.1129;0.0084;0.005
2.6738;0.08619258;0;0;80.7326;-84.8962;-75.5184;78.1128;0.0084;0.005
2.7437;0.08638906;0;0;80.7332;-84.8961;-75.5185;78.1127;0.0084;0.005
2.8137;0.0865863;0;0;80.7338;-84.8961;-75.5186;78.1126;0.0084;0.005
2.8835;0.08678317;0;0;80.7344;-84.896;-75.5187;78.1125;0.0084;0.005
2.9531;0.08697897;0;0;80.7351;-84.896;-75.5188;78.1124;0.0084;0.005
3.0227;0.08717522;0;0;80.7358;-84.8959;-75.5189;78.1123;0.0084;0.005
3.0925;0.08771184;0.0031;0.0012;80.7365;-84.8958;-75.519;78.1122;0.0084;0.0054
3.1619;0.09664035;0.0206;0.0313;80.7372;-84.8958;-75.5191;78.1121;0.0084;0.0062
3.2317;0.11188418;0.0382;0.0623;80.7376;-84.8956;-75.5192;78.1118;0.0084;0.0087
3.3015;0.12165424;0.053;0.0807;80.7377;-84.8951;-75.5193;78.111;0.0084;0.0105
